Type,Origin,Nested,Category,label,as,BQ Field,value type,inject to SELECT,Inject to WHERE,GROUP BY,Default paramaters,Additional Parameters,Count,Distinct,SUM,AVG
Metric,Calculated,FALSE,Ecommerce,Purchases,Purchases,NA,INT,COUNT(event_name),event_name = 'purchase',FALSE,"language, page_location, page_referrer, page_title, screen_resolution",NA,FALSE,FALSE,FALSE,FALSE
Metric,Calculated,FALSE,Ecommerce,Refunds,Refunds,NA,INT,COUNT(event_name),event_name = 'refund',FALSE,"language, page_location, page_referrer, page_title, screen_resolution",NA,FALSE,FALSE,FALSE,FALSE
Metric,Calculated,FALSE,Ecommerce,Remove from cart,Remove_from_cart,NA,INT,COUNT(event_name),event_name = 'remove_from_cart',FALSE,"language, page_location, page_referrer, page_title, screen_resolution",NA,FALSE,FALSE,FALSE,FALSE
Metric,Calculated,FALSE,Ecommerce,Select item,Select_item,NA,INT,COUNT(event_name),event_name = 'select_item',FALSE,"language, page_location, page_referrer, page_title, screen_resolution",NA,FALSE,FALSE,FALSE,FALSE
Metric,Calculated,FALSE,Ecommerce,Select promotion,Select_promotion,NA,INT,COUNT(event_name),event_name = 'select_promotion',FALSE,"language, page_location, page_referrer, page_title, screen_resolution",NA,FALSE,FALSE,FALSE,FALSE
Metric,Calculated,FALSE,Ecommerce,View cart,View_cart,NA,INT,COUNT(event_name),event_name = 'view_cart',FALSE,"language, page_location, page_referrer, page_title, screen_resolution",NA,NA,NA,NA,NA
Metric,Calculated,FALSE,Ecommerce,View item,View_item,NA,INT,COUNT(event_name),event_name = 'view_item',FALSE,"language, page_location, page_referrer, page_title, screen_resolution",NA,NA,NA,NA,NA
Metric,Calculated,FALSE,Ecommerce,View item list,View_item_list,NA,INT,COUNT(event_name),event_name = 'view_item_list',FALSE,"language, page_location, page_referrer, page_title, screen_resolution",NA,NA,NA,NA,NA
Metric,Calculated,FALSE,Ecommerce,View promotion,View_promotion,NA,INT,COUNT(event_name),event_name = 'view_promotion',FALSE,"language, page_location, page_referrer, page_title, screen_resolution",NA,NA,NA,NA,NA
Metric,Calculated,FALSE,General,Level end,Level_end,NA,INT,COUNT(event_name),"event_name=""level_end""",FALSE,"language, page_location, page_referrer, page_title, screen_resolution",NA,NA,NA,NA,NA
Metric,Calculated,FALSE,General,Level start,Level_start,NA,INT,COUNT(event_name),"event_name=""level_start""",FALSE,"language, page_location, page_referrer, page_title, screen_resolution",NA,NA,NA,NA,NA
Metric,Calculated,FALSE,General,Level up,Level_up,NA,INT,COUNT(event_name),"event_name=""level_up""",FALSE,"language, page_location, page_referrer, page_title, screen_resolution",NA,NA,NA,NA,NA
Metric,Calculated,FALSE,General,Logins,Logins,NA,INT,COUNT(event_name),"event_name=""login""",FALSE,"language, page_location, page_referrer, page_title, screen_resolution",NA,NA,NA,NA,NA
Metric,Calculated,FALSE,General,OS update,OS_update,NA,INT,COUNT(event_name),"event_name=""os_update""",FALSE,"language, page_location, page_referrer, page_title, screen_resolution",previous_os_version,NA,NA,NA,NA
Metric,Calculated,FALSE,General,Pageviews,Pageviews,NA,INT,COUNT(event_name),"event_name=""page_view""",FALSE,"language, page_location, page_referrer, page_title, screen_resolution",engagement_time_msec,NA,NA,NA,NA
Metric,Calculated,FALSE,General,Post score,Post_score,NA,INT,COUNT(event_name),"event_name=""post_score""",FALSE,"language, page_location, page_referrer, page_title, screen_resolution",NA,NA,NA,NA,NA
Metric,Calculated,FALSE,General,Screenviews,Screenviews,NA,INT,COUNT(event_name),"event_name=""screen_view""",FALSE,"language, page_location, page_referrer, page_title, screen_resolution","firebase_screen, firebase_screen_class, firebase_screen_id, firebase_previous_screen, firebase_previous_class, firebase_previous_id, engagement_time_msec",NA,NA,NA,NA
Metric,Calculated,FALSE,General,Scrolls,Scrolls,NA,INT,COUNT(event_name),"event_name=""scroll""",FALSE,"language, page_location, page_referrer, page_title, screen_resolution",engagement_time_msec,NA,NA,NA,NA
Metric,Calculated,FALSE,General,Searches,Searches,NA,INT,COUNT(event_name),"event_name=""search""",FALSE,"language, page_location, page_referrer, page_title, screen_resolution",NA,NA,NA,NA,NA
Metric,Calculated,FALSE,General,Select content,Select_content,NA,INT,COUNT(event_name),"event_name=""select_content""",FALSE,"language, page_location, page_referrer, page_title, screen_resolution",NA,NA,NA,NA,NA
Metric,Calculated,FALSE,General,Shares,Shares,NA,INT,COUNT(event_name),"event_name=""share""",FALSE,"language, page_location, page_referrer, page_title, screen_resolution",NA,NA,NA,NA,NA
